Time	ABP	LCBFV	RCBFV
-1.2	0.0278597661171360	0.095178546	0.130530342
-0.8	0.124685838420307	0.124743502	0.162134321
-0.4	0.279059140426491	0.166459905	0.204136284
0.0	0.450004817825762	0.244149506	0.274576971
0.4	0.611627119273832	0.398219349	0.400159072
0.8	0.749766311424529	0.639600243	0.592156482
1.2	0.858728706278950	0.865062447	0.799421997
1.6	0.938424002272610	0.977547213	0.942837599
2.0	0.992060697772458	1	1
2.4	1.02442586912203	0.978052782	0.987482266
2.8	1.04069962356504	0.939097761	0.92394564
3.2	1.04571547954274	0.891825373	0.828305152
3.6	1.04356489299370	0.835478925	0.722314441
4.0	1.03744784087540	0.775199707	0.625037896
4.4	1.02968447130182	0.722842507	0.54726936
4.8	1.02181998853969	0.685494481	0.49145968
5.2	1.01477257107620	0.660831025	0.455049533
5.6	1.00899006278490	0.643398754	0.433733847
6.0	1.00459435167695	0.630135525	0.423284053
6.4	1.00150243282317	0.620215267	0.420202989
6.8	0.999520295622308	0.613103683	0.421829331
7.2	0.998410398438538	0.607972165	0.426242069
7.6	0.997936121840328	0.60411952	0.432124101
8.0	0.997887756303913	0.601189094	0.438617326
8.4	0.998094756088494	0.598992692	0.445191099
8.8	0.998428566899312	0.59734368	0.451536586
9.2	0.998799606010799	0.596061094	0.457488237
9.6	0.999151146886734	0.595023182	0.462971575
10.0	0.999452068481515	0.594166821	0.467964745
10.4	0.999689746211702	0.593455467	0.472481103
10.8	0.999863818300096	0.592858438	0.476549791
11.2	0.999981160565818	0.59235111	0.480209263
11.6	1.00005213047961	0.591919217	0.483497971
12.0	1.00008797473462	0.591552987	0.486454773
12.4	1.00009920860502	0.591244799	0.489114073
12.8	1.00009474626857	0.590987226	0.491506633
13.2	1.00008156880073	0.590773234	0.493659168
13.6	1.00006474473695	0.590596177	0.495595965
14.0	1.00004765527279	0.590450779	0.49733726
14.4	1.00003231447388	0.59033196	0.498902482
14.8	1.00001970956499	0.590235614	0.500307014
15.2	1.00001011508258	0.590156857	0.501566235
15.6	1.00000335667835	0.590092367	0.502693907
16.0	0.999999015973964	0.590040188	0.503702984
16.4	0.999996577988823	0.589997389	0.504604394
16.8	0.999995528433508	0.589962017	0.50540866
17.2	0.999995410736205	0.589932312	0.506125497
17.6	0.999995853080626	0.589907493	0.50676462
18.0	0.999996574830012	0.589886387	0.507332908
18.4	0.999997380136545	0.589868798	0.507839268
18.8	0.999998144741792	0.589853555	0.508289366
19.2	0.999998800251766	0.589840461	0.508689678
19.6	0.999999318682179	0.589829127	0.509045465
20.0	0.999999698884522	0.58981916	0.509361586
20.4	0.999999955588722	0.589810756	0.509642492
20.8	1.00000011120258	0.589802939	0.509891827
21.2	1.00000019014307	0.58979649	0.510113638
21.6	1.00000021528542	0.589790627	0.510310353
22.0	1.00000020605075	0.589785351	0.510485211
22.4	1.00000017766864	0.589780661	0.510639831
22.8	1.00000014121140	0.589776557	0.510777855
23.2	1.00000010407747	0.589773234	0.510900094
23.6	1.00000007068454	0.589769912	0.511008571
24.0	1.00000004320856	0.589766395	0.511105309
24.4	1.00000002226725	0.589764245	0.51119031
24.8	1.00000000749495	0.589762095	0.51126681
25.2	0.999999997989565	0.589759945	0.511333596
25.6	0.999999992634711	0.589757405	0.511393502
26.0	0.999999990312623	0.589755842	0.511446121
26.4	0.999999990029297	0.589754278	0.511492669
26.8	0.999999990974133	0.589752715	0.511533955
27.2	0.999999992534510	0.589750956	0.511571193
27.6	0.999999994282273	0.589749979	0.511603574
28.0	0.999999995945247	0.589748806	0.511632312
28.4	0.999999997373137	0.589747829	0.511658217
28.8	0.999999998503928	0.589746266	0.511680479
29.2	0.999999999334333	0.589745288	0.511700717
29.6	0.999999999895895	0.589744702	0.511718527
30.0	1.00000000023709	0.589743725	0.511734313
30.4	1.00000000041092	0.589743139	0.511748075
30.8	1.00000000046715	0.589741966	0.511759813
31.2	1.00000000044810	0.58974138	0.511771146
31.6	1.00000000038698	0.589740989	0.511780861
32.0	1.00000000030798	0.589740012	0.511789361
32.4	1.00000000022730	0.589739817	0.511796647
32.8	1.00000000015461	0.589739035	0.511803123
33.2	1.00000000009472	0.589738449	0.511809194
33.6	1.00000000004901	0.589737862	0.511814456
34.0	1.00000000001673	0.589737667	0.511819313
34.4	0.999999999995912	0.589737276	0.511822956
34.8	0.999999999984151	0.589736885	0.511826599
35.2	0.999999999979015	0.589736299	0.511829837
35.6	0.999999999978339	0.589735713	0.511832266
36.0	0.999999999980356	0.589735322	0.511834694
36.4	0.999999999983729	0.589735322	0.511837123
36.8	0.999999999987522	0.589735126	0.511838742
37.2	0.999999999991139	0.589734735	0.511840766
37.6	0.999999999994249	0.58973454	0.51184198
38.0	0.999999999996715	0.589734149	0.511843194
38.4	0.999999999998529	0.589733758	0.511844813
38.8	0.999999999999757	0.589733172	0.511845623
39.2	1.00000000000051	0.589733563	0.511846837
39.6	1.00000000000089	0.589733172	0.511847647
40.0	1.00000000000101	0.589732977	0.511848052
40.4	1.00000000000097	0.589733172	0.511848861
40.8	1.00000000000084	0.589732977	0.511849266
41.2	1.00000000000067	0.58973239	0.511850075
41.6	1.00000000000050	0.58973239	0.511850075
42.0	1.00000000000034	0.589731999	0.51185048
42.4	1.00000000000021	0.589731999	0.511850885
42.8	1.00000000000011	0.589731999	0.51185129
43.2	1.00000000000004	0.58973239	0.51185129
43.6	0.999999999999992	0.589731999	0.511851694
44.0	0.999999999999966	0.589731609	0.511851694
44.4	0.999999999999955	0.589731609	0.511852099
44.8	0.999999999999953	0.589731609	0.511852099
