LagList,Cost,Nu,Gamma,Correlacion
0.5,1,128,0.2,0.49272555689134
0.5,1,1,0.4,0.492708435067033
2,1,1,1,0.492550584864537
0.25,3,128,0.8,0.492440333637572
0.5,1,4,0.3,0.492149340885196
2,1,16,0.7,0.491967887967924
0.5,1,2,0.5,0.491941587653331
2,1,4,0.3,0.491899106179442
1,1,1,0.4,0.491766484771902
1,1,4,0.7,0.491689736505908
0.25,1,1024,0.3,0.491609579037488
0.0625,8,8,0.7,0.491485521867366
0.0625,6,32,0.8,0.491484193242655
2,1,2,0.6,0.491209360918693
2,1,16,0.3,0.491203514505514
0.5,2,4,0.6,0.491119187343692
0.5,1,64,0.2,0.491100277504609
0.25,2,32,0.6,0.490566002266201
1,1,8,0.3,0.490497725577999
0.5,1,8,0.5,0.490448080374869
0.125,6,2,0.9,0.49040094051831
0.125,6,2,1,0.4903612307007
2,1,8,0.5,0.490350044878882
2,1,16,0.6,0.490232042616308
1,1,8,0.9,0.490126480779612
2,1,8,0.3,0.489980922814264
1,1,0.5,0.5,0.489702710159405
0.125,2,512,0.2,0.489702465807086
2,1,1,0.8,0.489689567308723
0.25,2,128,0.5,0.489689529992365
2,1,2,0.5,0.48963611610883
1,1,16,0.3,0.489571205331434
0.5,1,1,0.5,0.489547690489886
0.25,1,2048,0.3,0.489521826987878
1,1,4,0.8,0.489396481784511
0.25,3,64,0.8,0.489346676111461
0.0625,7,2,0.9,0.48928761385904
4,1,2,0.8,0.489213073757
1,1,32,0.3,0.489168329255125
0.125,7,2,0.9,0.489164242766799
0.125,7,2,1,0.489145369524548
1,1,4,0.9,0.489107669752262
0.0625,6,4,0.1,0.489030073245885
0.5,1,2,0.3,0.488962720074313
1,1,2,0.8,0.488642816690208
0.25,3,64,0.7,0.488501444102467
4,1,1,0.9,0.488437190147223
1,1,16,0.8,0.488419676373318
1,1,1024,1,0.488387341963249
2,1,2,0.3,0.488347882929875
0.25,2,32,0.4,0.488338204043501
1,1,1,0.5,0.488309692899127
0.5,1,0.5,0.4,0.488220049027872
1,1,256,0.4,0.4881778944343
1,1,8,0.4,0.488139242167213
1,1,8,1,0.488091470568572
0.25,2,16,0.4,0.487979803132049
4,1,1,0.8,0.487911773195245
1,1,4,1,0.487800033921909
0.25,1,512,0.3,0.48774343575416
0.25,2,128,0.4,0.487626699464997
2,1,1,0.9,0.487586390707376
0.25,2,16,0.3,0.487566162169937
1,1,2,0.3,0.487556178618331
0.25,2,128,0.8,0.487507163788149
1,1,128,0.5,0.487307873949451
0.25,2,64,0.7,0.48715284705934
1,1,1,0.6,0.487146229966647
1,1,16,0.6,0.487107179144075
0.5,2,8,0.6,0.486932786496298
1,1,32,0.8,0.48683789081395
1,1,0.5,0.4,0.486546788663011
0.25,2,8,0.5,0.486412524620336
0.25,2,32,0.3,0.486368089685789
1,1,2,0.7,0.486204053256637
2,1,0.5,0.5,0.486178355031779
0.25,2,8,0.4,0.486020579512984
4,1,1,1,0.485980248383746
0.5,1,8,0.6,0.485971337350195
0.25,2,1024,0.5,0.485964916141217
1,1,0.25,0.5,0.485881642081195
0.25,2,4,0.4,0.485805703359626
1,1,16,0.4,0.485761288761854
0.5,2,4,0.8,0.485723746300218
0.0625,7,64,1,0.485614014974002
2,1,0.5,0.7,0.485507379364331
2,1,1,0.6,0.485481312527108
0.0625,7,64,0.9,0.485440496302341
0.0625,7,2,0.6,0.485418394475062
0.0625,7,64,0.8,0.485390506408792
2,1,2,0.4,0.485318969614416
0.5,2,8,0.7,0.485309078660285
0.25,3,256,1,0.485281413610292
0.25,3,256,0.9,0.485146526870095
1,1,2,0.5,0.48511788639482
0.25,2,64,0.2,0.485048858451728
0.5,2,2,0.5,0.48504360174809
0.5,1,64,0.7,0.48503341618054
2,1,0.5,0.4,0.485016170249164
2,1,4,0.4,0.485009400538822
0.25,3,256,0.8,0.484912576401339
0.25,1,512,0.5,0.48479566299629
2,1,0.5,0.6,0.484784638048294
0.125,7,2,0.8,0.484764121104188
0.5,1,64,0.8,0.484757352203157
0.0625,6,8,0.1,0.48453088632377
4,1,2,0.9,0.484406346371938
2,1,1,0.4,0.484346931075406
0.25,2,16,0.6,0.484297971350147
1,1,1,0.7,0.484092722273866
1,1,4,0.5,0.484051972461652
2,1,1,0.5,0.483983113476719
1,1,8,0.6,0.483942301860233
0.0625,7,4,0.4,0.483921427926867
1,1,2,0.6,0.483905650474092
1,1,512,1,0.483904583968783
0.5,1,4,0.6,0.483887221670364
0.25,1,128,0.4,0.483586770505142
2,1,8,0.4,0.483488855529849
0.5,2,16,0.6,0.483441266308176
0.5,2,2,0.7,0.483321847689955
2,1,16,0.2,0.483304169645246
0.25,3,32,0.9,0.483284407307514
0.5,2,2,0.6,0.483222430595216
0.25,3,32,1,0.483182089948594
2,1,16,0.5,0.483128057201531
0.0625,7,2,1,0.482976969931557
2,1,4,0.2,0.482947134693908
0.0625,7,64,0.7,0.482826399633797
0.125,7,1,1,0.482769584765968
0.5,1,0.5,0.5,0.482741467769712
0.5,1,64,0.4,0.482734602231729
1,1,1,0.8,0.482611486807805
2,1,8,0.2,0.48258017244389
1,1,1,0.3,0.482570414018432
0.125,2,256,0.2,0.482548179441834
0.25,2,8,0.3,0.482521530161033
0.25,1,256,0.2,0.482369991070168
1,1,4,0.6,0.482288881507708
0.5,1,32,0.8,0.482269938698771
1,1,16,0.5,0.482208643026576
4,1,0.5,0.4,0.482155789111069
1,1,8,0.2,0.482080743141576
0.125,5,128,0.9,0.482053873296549
4,1,1,0.7,0.482021543504096
2,1,32,0.3,0.482021253442926
0.125,5,128,1,0.481906142739325
0.125,5,128,0.8,0.48187121332597
0.125,7,2,0.7,0.481797797362603
0.125,5,128,0.7,0.481745906169143
4,1,2,1,0.48138735831009
0.5,1,16,0.6,0.481330574447642
0.125,7,4,0.7,0.481219321613866
0.25,1,1024,0.2,0.481164110829595
0.125,7,1,0.9,0.481124155047323
0.5,2,4,0.5,0.480878209531532
0.25,2,4,0.5,0.480877617692471
0.0625,5,512,0.7,0.480774963696973
1,1,256,0.2,0.480756225653002
0.25,2,512,0.6,0.480700868427057
1,1,128,0.6,0.480632363855831
2,1,2,0.2,0.480526603687343
0.25,1,512,0.2,0.480458684805192
1,1,2,0.9,0.480424874604682
0.125,2,128,0.2,0.480362538253816
1,1,0.5,0.3,0.48027558650035
2,1,32,0.7,0.480145898975129
1,1,0.25,0.4,0.480122015187234
0.5,1,1,0.3,0.480107992451511
0.5,2,1,0.7,0.480024496403457
0.0625,6,4,1,0.480012414507068
0.25,3,128,0.7,0.479981594851682
0.0625,2,32,0.1,0.479978995655779
1,1,512,0.9,0.47991769573438
2,1,0.25,0.3,0.479896567978898
1,1,16,0.9,0.479893950145258
0.25,1,1,0.4,0.479880810101948
4,1,1,0.3,0.479861544566748
2,1,1,0.3,0.479785725448427
0.25,1,4,0.4,0.479730129440759
1,1,64,0.2,0.47965490934938
0.25,2,2,0.6,0.479521893951427
2,1,0.5,0.8,0.479505198258127
0.5,1,32,0.2,0.479469465975801
0.125,2,64,0.3,0.479311534398225
0.25,1,8,0.4,0.479124293460244
0.5,1,16,0.8,0.479116109744779
