PAM,VFSC
130.46,72.43
130.31,72.49
130.14,72.54
130.01,72.45
129.89,72.30
129.78,72.13
129.67,71.97
129.54,71.81
129.43,71.69
129.37,71.64
129.39,71.68
129.63,72.03
129.99,72.52
130.39,73.00
130.80,73.42
131.11,73.46
131.37,73.34
131.58,73.13
131.75,72.88
131.81,72.80
131.82,72.72
131.81,72.61
131.80,72.43
131.87,72.04
131.96,71.54
132.03,71.01
132.08,70.46
131.99,69.94
131.83,69.47
131.68,69.06
131.57,68.75
131.62,68.63
131.80,68.67
132.00,68.78
132.21,68.93
132.27,68.98
132.21,68.96
132.19,68.97
132.27,69.05
132.64,69.33
133.29,69.80
134.02,70.32
134.79,70.86
135.46,71.33
136.04,71.73
136.56,72.04
137.00,72.26
137.29,72.21
137.47,72.02
137.60,71.80
137.67,71.62
137.69,71.73
137.70,71.97
137.73,72.26
137.82,72.57
138.10,72.80
138.49,72.98
138.93,73.15
139.41,73.28
139.93,73.47
140.45,73.63
140.92,73.69
141.31,73.61
141.45,73.09
141.43,72.30
141.34,71.49
141.23,70.75
141.20,70.42
141.24,70.42
141.30,70.60
141.39,70.93
141.50,71.45
141.63,72.08
141.74,72.67
141.83,73.16
141.82,73.22
141.75,73.05
141.67,72.76
141.59,72.40
141.59,72.15
141.59,71.90
141.59,71.64
141.54,71.35
141.41,70.98
141.22,70.59
140.97,70.21
140.66,69.88
140.28,69.70
139.84,69.58
139.35,69.47
138.81,69.34
138.07,69.01
137.35,68.69
136.72,68.45
136.26,68.34
136.19,68.59
136.32,68.98
136.63,69.49
137.10,70.14
137.74,70.95
138.48,71.76
139.26,72.48
140.06,72.95
140.83,73.11
141.52,73.10
142.10,72.94
142.40,72.62
142.48,72.18
142.46,71.68
142.36,71.18
142.31,70.78
142.25,70.43
142.15,70.13
142.02,69.88
141.87,69.74
141.67,69.64
141.40,69.54
141.03,69.38
140.38,69.00
139.73,68.65
139.16,68.39
138.82,68.41
138.88,68.83
139.09,69.39
139.40,70.02
139.77,70.62
140.15,71.15
140.54,71.59
140.91,71.89
141.21,71.86
141.44,71.63
141.62,71.28
141.72,70.88
141.68,70.52
141.58,70.16
141.44,69.80
141.31,69.49
141.21,69.26
141.11,69.05
140.99,68.83
140.84,68.52
140.65,68.10
140.42,67.70
140.13,67.38
139.70,67.26
139.17,67.33
138.65,67.49
138.20,67.72
138.00,67.94
137.95,68.17
137.96,68.41
138.02,68.67
137.98,68.94
137.98,69.20
138.04,69.44
138.21,69.64
138.55,69.80
138.93,69.90
139.31,69.91
139.60,69.77
139.78,69.50
139.92,69.18
140.03,68.85
140.15,68.62
140.24,68.43
140.29,68.24
140.27,68.03
140.17,67.75
139.99,67.46
139.73,67.17
139.33,66.89
138.76,66.63
138.20,66.43
137.72,66.33
137.55,66.45
137.61,66.73
137.80,67.08
138.10,67.48
138.50,67.85
138.94,68.22
139.38,68.57
139.74,68.92
139.97,69.25
140.16,69.51
140.34,69.66
140.61,69.52
140.90,69.21
141.15,68.87
141.32,68.55
141.25,68.45
141.11,68.43
140.95,68.47
140.80,68.57
140.73,68.71
140.71,68.91
140.76,69.15
140.93,69.40
141.20,69.67
141.57,70.02
142.02,70.45
142.63,71.20
143.29,72.01
143.94,72.74
144.47,73.18
144.78,73.08
145.00,72.80
145.15,72.39
145.28,72.07
145.39,71.81
145.44,71.51
145.45,71.16
145.37,70.61
145.24,70.01
145.09,69.42
144.95,68.94
144.96,68.76
144.93,68.65
144.83,68.60
144.57,68.52
144.04,68.37
143.40,68.19
142.69,67.98
141.92,67.69
141.12,67.35
140.38,67.04
139.73,66.81
139.40,66.80
139.22,66.92
139.11,67.14
139.01,67.49
138.82,68.05
138.62,68.56
138.40,68.93
138.12,68.75
137.79,68.13
137.46,67.46
137.14,66.90
136.87,67.07
136.64,67.52
136.46,68.08
136.34,68.62
136.37,68.87
136.42,69.04
136.47,69.14
136.41,69.17
136.17,69.09
135.90,69.02
135.65,68.98
135.53,69.13
135.55,69.45
135.63,69.82
135.79,70.20
136.04,70.55
136.33,70.84
136.63,71.05
136.91,71.17
137.07,71.08
137.19,70.90
137.26,70.65
137.27,70.36
137.20,70.03
137.14,69.72
137.13,69.44
137.30,69.31
137.62,69.30
137.99,69.33
138.35,69.37
138.59,69.27
138.76,69.15
138.92,69.08
139.07,69.14
139.24,69.56
139.42,70.02
139.58,70.43
139.68,70.53
139.72,70.24
139.81,69.97
140.03,69.83
140.58,70.37
141.34,71.24
142.20,72.16
143.09,72.94
143.93,73.27
144.74,73.40
145.48,73.32
146.11,73.01
146.62,72.51
147.01,71.88
147.29,71.17
147.41,70.51
147.41,69.82
147.30,69.13
147.09,68.41
146.78,67.65
146.39,66.94
145.97,66.30
145.53,65.82
145.09,65.51
144.66,65.32
144.26,65.25
143.95,65.37
143.68,65.59
143.39,65.81
143.07,65.98
142.59,65.76
142.05,65.51
141.48,65.30
140.85,65.32
140.19,65.69
139.57,66.14
139.01,66.61
138.61,66.80
138.34,66.94
138.23,67.15
138.35,67.64
138.74,68.56
139.20,69.51
139.65,70.36
139.90,70.75
140.01,70.87
139.99,70.76
139.75,70.39
139.27,69.75
138.72,69.05
138.18,68.38
137.85,68.09
137.64,67.99
137.50,67.96
137.42,67.93
137.36,67.67
137.33,67.47
137.32,67.41
137.29,67.71
137.24,68.42
137.25,69.19
137.34,69.91
137.62,70.07
138.04,70.04
138.58,70.05
139.28,70.32
140.16,71.26
141.12,72.30
142.14,73.30
143.20,73.96
144.25,74.26
145.21,74.32
146.02,74.09
146.45,73.32
146.72,72.40
146.85,71.47
146.90,70.87
146.89,70.72
146.82,70.65
146.70,70.56
146.58,70.14
146.43,69.53
146.24,68.89
145.99,68.28
145.65,67.94
145.24,67.70
144.77,67.51
144.22,67.35
143.57,67.19
142.86,67.00
142.11,66.74
141.33,66.30
140.53,65.56
139.74,64.80
139.00,64.09
138.30,63.60
137.69,63.38
137.19,63.34
136.84,63.47
136.77,63.84
136.90,64.37
137.15,65.02
137.47,65.74
137.80,66.59
138.13,67.38
138.47,68.04
138.76,68.34
138.99,68.13
139.18,67.74
139.34,67.24
139.48,66.82
139.61,66.49
139.71,66.16
139.79,65.82
139.84,65.45
139.87,65.09
139.85,64.76
139.78,64.50
139.62,64.43
139.41,64.40
139.18,64.39
138.92,64.34
138.65,64.13
138.38,63.95
138.12,63.83
137.89,63.89
137.69,64.17
137.54,64.52
137.46,64.88
137.53,65.14
137.72,65.31
137.95,65.43
138.16,65.52
138.24,65.55
138.25,65.57
138.23,65.57
138.19,65.60
138.14,65.70
138.08,65.82
138.04,65.95
138.02,66.10
138.04,66.24
138.10,66.39
138.20,66.52
138.36,66.64
138.60,66.74
138.85,66.81
139.08,66.84
139.24,66.79
139.31,66.67
139.33,66.52
139.31,66.35
139.23,66.16
139.10,65.98
139.01,65.86
139.01,65.86
139.21,66.09
139.62,66.54
140.15,67.11
140.79,67.76
141.55,68.47
142.40,69.19
143.30,69.89
144.25,70.54
145.23,71.05
146.19,71.45
147.13,71.73
147.99,71.84
148.74,71.68
149.39,71.41
149.92,71.04
150.32,70.66
150.56,70.36
150.66,70.01
150.65,69.58
150.51,68.95
150.21,67.98
149.85,67.01
149.45,66.15
149.09,65.64
148.85,65.74
148.59,65.99
148.30,66.30
147.92,66.51
147.41,66.48
146.85,66.35
146.27,66.13
145.73,65.77
145.23,65.27
144.73,64.73
144.23,64.21
143.71,63.80
143.16,63.54
142.60,63.34
142.02,63.16
141.42,62.97
140.78,62.75
140.15,62.54
139.53,62.38
138.95,62.29
138.43,62.29
137.92,62.32
137.42,62.35
136.86,62.25
136.28,62.07
135.77,61.97
135.38,62.02
135.31,62.51
135.48,63.29
135.76,64.16
136.10,65.04
136.41,65.66
136.72,66.17
137.04,66.62
137.37,67.04
137.69,67.52
137.99,67.92
138.27,68.17
138.50,68.15
138.67,67.78
138.80,67.27
138.92,66.66
139.04,66.03
139.16,65.44
139.28,64.88
139.39,64.41
139.51,64.17
139.63,64.08
139.72,64.08
139.75,64.12
139.61,64.11
139.39,64.09
139.19,64.10
139.02,64.13
139.01,64.14
139.11,64.21
139.30,64.36
139.60,64.63
140.03,65.13
140.57,65.72
141.22,66.37
142.03,67.09
143.01,67.87
144.02,68.58
145.01,69.17
145.83,69.48
146.46,69.50
147.01,69.34
147.48,69.00
147.93,68.41
148.34,67.67
148.67,66.87
148.89,66.08
148.93,65.46
148.85,64.94
148.68,64.51
148.43,64.18
148.09,63.99
147.71,63.90
147.31,63.89
146.91,63.95
146.66,64.14
146.40,64.34
146.10,64.51
145.71,64.60
145.05,64.40
144.32,64.13
143.56,63.80
142.81,63.47
142.21,63.20
141.63,62.96
141.05,62.74
140.46,62.57
139.76,62.49
139.06,62.44
138.38,62.41
137.74,62.37
137.19,62.20
136.71,62.07
136.29,62.05
135.93,62.21
135.66,62.82
135.45,63.57
135.31,64.39
135.22,65.18
135.15,65.72
135.16,66.27
135.30,66.84
135.61,67.56
136.15,68.51
136.80,69.48
137.51,70.41
138.21,71.19
138.89,71.80
139.55,72.28
140.16,72.60
140.63,72.61
141.04,72.48
141.41,72.27
141.77,72.08
142.20,72.09
142.62,72.13
143.02,72.18
143.38,72.24
143.70,72.27
143.96,72.27
144.13,72.20
144.16,72.00
144.06,71.69
143.86,71.31
143.57,70.86
143.11,70.27
142.60,69.65
142.11,69.10
141.70,68.68
141.55,68.59
141.50,68.66
141.55,68.86
141.66,69.23
141.83,69.75
142.04,70.27
142.28,70.72
142.51,70.87
142.73,70.80
142.95,70.59
143.17,70.25
143.38,69.72
143.58,69.15
143.75,68.60
143.86,68.20
143.92,68.00
143.96,67.94
144.01,68.03
144.10,68.45
144.21,69.01
144.32,69.55
144.43,69.91
144.51,69.67
144.57,69.30
144.60,68.91
144.63,68.76
144.64,68.90
144.55,69.05
144.35,69.12
143.72,68.66
143.00,68.09
142.34,67.62
142.03,67.60
142.16,68.12
142.47,68.78
142.92,69.45
143.46,69.76
144.02,69.95
144.50,70.06
144.76,70.16
144.77,70.23
144.65,70.16
144.40,69.88
144.03,69.03
143.59,68.08
143.11,67.16
142.67,66.62
142.26,66.51
141.86,66.51
141.45,66.56
141.00,66.38
140.54,66.13
140.08,65.86
139.62,65.60
139.17,65.33
138.76,65.14
138.40,65.09
138.14,65.38
137.97,65.93
137.90,66.57
137.95,67.22
138.15,67.56
138.47,67.87
138.91,68.21
139.50,68.77
140.22,69.59
140.99,70.40
141.76,71.10
142.41,71.27
142.99,71.26
143.51,71.18
143.98,71.27
144.38,71.65
144.73,72.01
145.02,72.24
145.29,71.96
145.52,71.41
145.70,70.81
145.84,70.30
145.95,70.25
145.99,70.26
145.94,70.25
145.76,70.06
145.43,69.61
145.00,69.06
144.48,68.42
143.82,67.63
143.07,66.79
142.31,66.03
141.56,65.40
140.90,65.21
140.32,65.21
139.84,65.39
139.52,65.74
139.43,66.28
139.43,66.84
139.48,67.35
139.49,67.62
139.47,67.64
139.43,67.54
139.39,67.32
139.36,66.94
139.30,66.52
139.23,66.15
139.11,65.96
138.94,66.16
138.73,66.41
138.52,66.64
138.30,66.60
138.10,66.31
137.89,65.95
137.68,65.56
137.45,65.26
137.21,65.02
136.96,64.81
136.69,64.65
136.38,64.50
136.07,64.44
135.80,64.48
135.57,64.71
135.41,65.18
135.35,65.75
135.40,66.40
135.66,67.06
136.10,67.71
136.68,68.36
137.36,68.98
138.18,69.55
139.06,70.06
139.98,70.51
140.87,70.89
141.64,71.18
142.38,71.38
143.07,71.47
143.74,71.38
144.39,71.10
144.98,70.78
145.51,70.51
145.94,70.54
146.28,70.77
146.56,71.03
146.79,71.26
147.00,71.26
147.16,71.14
147.27,70.97
147.32,70.77
147.22,70.60
147.07,70.43
146.89,70.26
146.72,70.08
146.59,69.89
146.47,69.72
146.36,69.58
146.27,69.56
146.23,69.66
146.15,69.74
146.03,69.74
145.77,69.40
145.41,68.86
145.01,68.26
144.58,67.67
144.23,67.33
143.88,67.09
143.52,66.90
