VFSCd	VFSCi	PAMn
28.93999999999999	37.81	100.83999999999999
28.524357366789012	37.79317980865913	102.26669879132257
27.63353059749025	36.549847241873934	100.07775054875955
27.767078801660563	36.90609859964127	101.05530225600057
27.61	36.43000000000001	99.53999999999998
26.94382475864804	35.52173706651222	97.90538417284557
26.62171771269891	35.47618792024712	97.59727401309604
26.46374084405482	35.69213955300501	96.42235022417779
26.61	35.95000000000001	96.51999999999995
27.043338431102356	35.6905522419911	96.47956939534552
26.51795350919993	34.98654660108579	94.99180868321407
25.446274318862308	34.57679318572946	93.84891751221679
25.55999999999999	34.519999999999996	93.03999999999999
26.357258636690936	35.01985933709124	93.16930406550041
27.41802051251009	36.164782387283445	94.16142540478549
29.03087901091816	37.64359219233702	95.65951145844295
29.3	38.56999999999999	97.82999999999998
27.981780526932106	38.04287565553174	98.54393275869212
27.148721094176057	36.85106318231354	97.94011546107045
26.784394485541057	35.81409044831944	97.49062959752361
26.90999999999999	34.85	96.59999999999998
27.422254202832633	34.217137637103036	95.95472880362641
26.612641887046905	33.76301644271253	95.10497696870459
25.776272297446738	33.83700943578224	93.91010287117874
26.869999999999994	35.13000000000001	95.01999999999998
28.05633091028351	36.19359975838782	97.17023572230995
28.088220135524825	35.83920124817223	97.56763827589381
27.608403617223736	35.11336096125327	96.77295969844997
27.05	34.80999999999999	95.85999999999997
27.244378100871742	34.93533988003909	96.41071255011502
27.909156825206757	35.44356850059258	98.25111442999436
27.821948451112622	36.150683698295126	98.92129751212208
27.819999999999993	36.96999999999999	99.15999999999997
28.77639202408088	37.51565780534135	100.50828727959471
29.300684448711223	37.08662017957108	101.45518486929122
28.84212107236884	35.86437101587821	101.05370040695496
28.379999999999995	34.8	100.25999999999996
27.936343030134385	34.232451417471935	99.51006904082328
27.485765205371923	33.920113837838095	98.2920099963346
27.351126933977405	33.742719589112696	96.57079041086195
27.14999999999998	33.660000000000004	95.04999999999997
27.013710608379057	33.65505315665567	93.92676451102034
26.908298358888793	33.53617273539672	92.55793817996656
26.567291489268886	33.38573397333434	90.88727438860879
27.109999999999978	33.79	89.87999999999995
28.21181192404332	34.62521996256912	89.5881937644111
28.52395058582815	35.611659662490844	89.56661326300413
28.937323250559544	36.7116718242739	90.1171575462987
29.80999999999999	37.31999999999999	90.75999999999999
30.822705651538275	37.91866719858305	91.73532685300474
32.22801326437117	39.06229196788033	94.049392738247
32.629725593685976	39.54742167547187	96.08950991402008
31.689999999999998	39.34	96.66999999999997
31.071979374013345	39.18107757377321	96.75731476490398
