batch_size;neurons;hidden_layers;dropout;epochs;optimization;activation;CORRELATION;FISHER
198;20;2;0.6;10;RMSprop;sigmoid;0.32288551665834997;0.3348651323574371
198;60;3;0.6;10;RMSprop;sigmoid;0.3228591536455574;0.3348357012537755
198;50;3;0.6;10;RMSprop;sigmoid;0.3228556071229448;0.3348317420344626
198;50;2;0.6;10;RMSprop;hard_sigmoid;0.3228539099162318;0.33482984733319304
198;30;2;0.6;10;RMSprop;hard_sigmoid;0.32285003938931367;0.33482552642313956
198;60;3;0.6;10;RMSprop;hard_sigmoid;0.3228223085184311;0.33479456907892463
198;50;2;0.6;10;RMSprop;sigmoid;0.3228024136663546;0.33477235985168174
198;40;3;0.6;10;RMSprop;hard_sigmoid;0.3227129402858749;0.334672481937262
198;60;4;0.6;10;RMSprop;sigmoid;0.32270685534399957;0.33466568963347143
198;70;3;0.6;10;RMSprop;hard_sigmoid;0.3226777997103015;0.3346332567529512
198;80;3;0.6;10;RMSprop;hard_sigmoid;0.3226702628617162;0.3346248439786706
198;90;4;0.6;10;RMSprop;sigmoid;0.32266482040793437;0.33461876903625376
198;70;4;0.6;10;RMSprop;sigmoid;0.3226427797878557;0.3345941672338561
198;80;4;0.6;10;RMSprop;sigmoid;0.32263443219550203;0.3345848497296596
198;30;3;0.6;10;RMSprop;hard_sigmoid;0.32260271923939676;0.33454945253650725
198;50;3;0.6;10;RMSprop;hard_sigmoid;0.32255367228849047;0.3344947091721612
198;60;4;0.6;10;RMSprop;hard_sigmoid;0.32254031143029765;0.3344797968915637
198;100;4;0.6;10;RMSprop;hard_sigmoid;0.32251575585267456;0.33445239036869107
198;40;4;0.6;10;RMSprop;hard_sigmoid;0.3224175217264784;0.3343427559350406
198;70;4;0.6;10;RMSprop;hard_sigmoid;0.3224156483578493;0.3343406652327802
198;80;4;0.6;10;RMSprop;hard_sigmoid;0.3223928388475589;0.33431520976691054
198;90;4;0.6;10;RMSprop;hard_sigmoid;0.32238442606377465;0.33430582118635443
198;20;4;0.6;10;RMSprop;hard_sigmoid;0.32237796199755314;0.33429860739325434
198;70;5;0.6;10;RMSprop;sigmoid;0.3223383954500673;0.3342544524989533
198;50;4;0.6;10;RMSprop;hard_sigmoid;0.32225935815062384;0.33416625337759265
198;50;4;0.6;10;RMSprop;sigmoid;0.3222521038038688;0.3341581583748743
